Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
ZBTB16	fused with RARA in APL of t(11;17) type	Zinc finger- and BTB domain-containing protein 16 (promyelocytic leukemia zinc finger)	Leukemia, acute promyelocytic, PL2F/RARA type (3); Skeletal defects, genital hypoplasia, and mental retardation, 612447 (3), Autosomal recessive
ZNF145	fused with RARA in APL of t(11;17) type	Zinc finger- and BTB domain-containing protein 16 (promyelocytic leukemia zinc finger)	Leukemia, acute promyelocytic, PL2F/RARA type (3); Skeletal defects, genital hypoplasia, and mental retardation, 612447 (3), Autosomal recessive
PLZF	fused with RARA in APL of t(11;17) type	Zinc finger- and BTB domain-containing protein 16 (promyelocytic leukemia zinc finger)	Leukemia, acute promyelocytic, PL2F/RARA type (3); Skeletal defects, genital hypoplasia, and mental retardation, 612447 (3), Autosomal recessive
NNMT		Nicotinamide N-methyltransferase	Homocysteine plasma level, 600008 (2)
RBM7		RNA-binding motif protein 7	
REXO2		RNA exonuclease 2, S. cerevisiae, homolog of	
RFN		RNA exonuclease 2, S. cerevisiae, homolog of	
NXPE4		Neurexophilin and PC-esterase domain family, member 4	
C11orf33		Neurexophilin and PC-esterase domain family, member 4	
AAT1		Aortic aneurysm, familial thoracic 1	Aortic aneurysm, familial thoracic 1, 607086 (2)
FAA1		Aortic aneurysm, familial thoracic 1	Aortic aneurysm, familial thoracic 1, 607086 (2)
HDLCQ14		High density lipoprotein cholesterol level quantitative trait locus 14	High density lipoprotein cholesterol level QTL14, 605201 (2)
HYLAP		High density lipoprotein cholesterol level quantitative trait locus 14	High density lipoprotein cholesterol level QTL14, 605201 (2)
CADM1		Cell adhesion molecule 1	
IGSF4		Cell adhesion molecule 1	
TSLC1		Cell adhesion molecule 1	
ZPR1		ZPR1 zinc finger protein	
ZNF259		ZPR1 zinc finger protein	
APOA5	proximal to APOA1, APOC3, APOA4	Apolipoprotein A-V	Hyperchylomicronemia, late-onset, 144650 (3), Autosomal dominant; {Hypertriglyceridemia, susceptibility to}, 145750 (3), Autosomal dominant
APOA4	12 kb 3' to APOA1	Apolipoprotein A-IV	
APOC3	2.6kb 3' to APOA1	Apolipoprotein C-III	Apolipoprotein C-III deficiency, 614028 (3)
HALP2	2.6kb 3' to APOA1	Apolipoprotein C-III	Apolipoprotein C-III deficiency, 614028 (3)
APOA1		Apolipoprotein A-I	Amyloidosis, 3 or more types, 105200 (3), Autosomal dominant; ApoA-I and apoC-III deficiency, combined, 618463 (3); Hypoalphalipoproteinemia, primary, 2, with or without corneal clouding, 618463 (3)
HPALP2		Apolipoprotein A-I	Amyloidosis, 3 or more types, 105200 (3), Autosomal dominant; ApoA-I and apoC-III deficiency, combined, 618463 (3); Hypoalphalipoproteinemia, primary, 2, with or without corneal clouding, 618463 (3)
SIK3	mutation identified in 1 SEMDK family	Salt-inducible kinase 3	?Spondyloepimetaphyseal dysplasia, Krakow type, 618162 (3), Autosomal recessive
KIAA0999	mutation identified in 1 SEMDK family	Salt-inducible kinase 3	?Spondyloepimetaphyseal dysplasia, Krakow type, 618162 (3), Autosomal recessive
SEMDK	mutation identified in 1 SEMDK family	Salt-inducible kinase 3	?Spondyloepimetaphyseal dysplasia, Krakow type, 618162 (3), Autosomal recessive
PAFAH1B2		Platelet-activating factor acetylhydrolase, isoform Ib, beta subunit	
SIDT2		SID1 transmembrane family, member 2	
TAGLN		Transgelin	
SMCC		Transgelin	
SM22		Transgelin	
PCSK7		Proprotein convertase, subtilisin/kexin-type, 7	
PC8		Proprotein convertase, subtilisin/kexin-type, 7	
PC7		Proprotein convertase, subtilisin/kexin-type, 7	
LPC		Proprotein convertase, subtilisin/kexin-type, 7	
BACE1		Beta-site amyloid beta A4 precursor protein-cleaving enzyme (secretase, beta; memapsin 2)	
BACE		Beta-site amyloid beta A4 precursor protein-cleaving enzyme (secretase, beta; memapsin 2)	
BACE1AS		BACE1 antisense RNA	
CEP164		Centrosomal protein, 164kD	Nephronophthisis 15, 614845 (3), Autosomal recessive
KIAA1052		Centrosomal protein, 164kD	Nephronophthisis 15, 614845 (3), Autosomal recessive
DSCAML1		Down syndrome cell adhesion molecule-like 1	
KIAA1132		Down syndrome cell adhesion molecule-like 1	
FXYD2		FXYD domain-containing ion transport regulator 2 (sodium-potassium-ATPase, gamma polypeptide)	Hypomagnesemia 2, renal, 154020 (3), Autosomal dominant
ATP1G1		FXYD domain-containing ion transport regulator 2 (sodium-potassium-ATPase, gamma polypeptide)	Hypomagnesemia 2, renal, 154020 (3), Autosomal dominant
HOMG2		FXYD domain-containing ion transport regulator 2 (sodium-potassium-ATPase, gamma polypeptide)	Hypomagnesemia 2, renal, 154020 (3), Autosomal dominant
FXYD6		FXYD domain-containing ion transport regulator 6	
TMPRSS13		Transmembrane protease, serine 13	
MSPL		Transmembrane protease, serine 13	
MSPS		Transmembrane protease, serine 13	
IL10RA		Interleukin-10 receptor, alpha	Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3), Autosomal recessive
IL10R		Interleukin-10 receptor, alpha	Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3), Autosomal recessive
IBD28		Interleukin-10 receptor, alpha	Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3), Autosomal recessive
TMPRSS4		Transmembrane protease, serine 4	
SCN4B		Sodium channel, voltage-gated, type IV, beta subunit	Atrial fibrillation, familial, 17, 611819 (3), Autosomal dominant; Long QT syndrome-10, 611819 (3), Autosomal dominant
LQT10		Sodium channel, voltage-gated, type IV, beta subunit	Atrial fibrillation, familial, 17, 611819 (3), Autosomal dominant; Long QT syndrome-10, 611819 (3), Autosomal dominant
ATFB17		Sodium channel, voltage-gated, type IV, beta subunit	Atrial fibrillation, familial, 17, 611819 (3), Autosomal dominant; Long QT syndrome-10, 611819 (3), Autosomal dominant
SCN2B		Sodium channel, voltage-gated, type II, beta polypeptide	Atrial fibrillation, familial, 14, 615378 (3), Autosomal dominant
ATFB14		Sodium channel, voltage-gated, type II, beta polypeptide	Atrial fibrillation, familial, 14, 615378 (3), Autosomal dominant
AMICA1		Adhesion molecule, interacts with CXADR antigen 1	
JAML		Adhesion molecule, interacts with CXADR antigen 1	
MPZL3		Myelin protein zero-like 3	
MPZL2		Myelin protein zero-like 2	Deafness, autosomal recessive 111, 618145 (3), Autosomal recessive
EVA1		Myelin protein zero-like 2	Deafness, autosomal recessive 111, 618145 (3), Autosomal recessive
EVA		Myelin protein zero-like 2	Deafness, autosomal recessive 111, 618145 (3), Autosomal recessive
DFNB111		Myelin protein zero-like 2	Deafness, autosomal recessive 111, 618145 (3), Autosomal recessive
CD3E		CD3E antigen, epsilon polypeptide (TiT3 complex)	Immunodeficiency 18, 615615 (3), Autosomal recessive; Immunodeficiency 18, SCID variant, 615615 (3), Autosomal recessive
IMD18		CD3E antigen, epsilon polypeptide (TiT3 complex)	Immunodeficiency 18, 615615 (3), Autosomal recessive; Immunodeficiency 18, SCID variant, 615615 (3), Autosomal recessive
CD3D	3 CD3 genes in 50kb	CD3D antigen, delta polypeptide (TiT3 complex)	Immunodeficiency 19, 615617 (3), Autosomal recessive
T3D	3 CD3 genes in 50kb	CD3D antigen, delta polypeptide (TiT3 complex)	Immunodeficiency 19, 615617 (3), Autosomal recessive
IMD19	3 CD3 genes in 50kb	CD3D antigen, delta polypeptide (TiT3 complex)	Immunodeficiency 19, 615617 (3), Autosomal recessive
CD3G		CD3G antigen, gamma polypeptide (TiT3 complex)	Immunodeficiency 17, CD3 gamma deficient, 615607 (3), Autosomal recessive
IMD17		CD3G antigen, gamma polypeptide (TiT3 complex)	Immunodeficiency 17, CD3 gamma deficient, 615607 (3), Autosomal recessive
UBE4A		Ubiquitination factor E4A	
UFD2		Ubiquitination factor E4A	
E4		Ubiquitination factor E4A	
ATP5JG		ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	
KMT2A	fuses with ENL, AF4, AF9, GMPS	Lysine (K)-specific methyltransferase 2E	Leukemia, myeloid/lymphoid or mixed-lineage, 159555 (2), Autosomal dominant; Wiedemann-Steiner syndrome, 605130 (3), Autosomal dominant
MLL	fuses with ENL, AF4, AF9, GMPS	Lysine (K)-specific methyltransferase 2E	Leukemia, myeloid/lymphoid or mixed-lineage, 159555 (2), Autosomal dominant; Wiedemann-Steiner syndrome, 605130 (3), Autosomal dominant
HRX	fuses with ENL, AF4, AF9, GMPS	Lysine (K)-specific methyltransferase 2E	Leukemia, myeloid/lymphoid or mixed-lineage, 159555 (2), Autosomal dominant; Wiedemann-Steiner syndrome, 605130 (3), Autosomal dominant
HTRX1	fuses with ENL, AF4, AF9, GMPS	Lysine (K)-specific methyltransferase 2E	Leukemia, myeloid/lymphoid or mixed-lineage, 159555 (2), Autosomal dominant; Wiedemann-Steiner syndrome, 605130 (3), Autosomal dominant
WDSTS	fuses with ENL, AF4, AF9, GMPS	Lysine (K)-specific methyltransferase 2E	Leukemia, myeloid/lymphoid or mixed-lineage, 159555 (2), Autosomal dominant; Wiedemann-Steiner syndrome, 605130 (3), Autosomal dominant
TMEM25		Transmembrane protein 25	
ARCN1	60kb telomeric to MLL	Archain 1	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, 617164 (3), Autosomal dominant
SRMMD	60kb telomeric to MLL	Archain 1	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, 617164 (3), Autosomal dominant
PHLDB1		Pleckstrin homology-like domain, family B, member 1	
LL5A		Pleckstrin homology-like domain, family B, member 1	
KIAA0638		Pleckstrin homology-like domain, family B, member 1	
TREH		Trehalase	Trehalase deficiency, 612119 (3), Autosomal recessive
TREHD		Trehalase	Trehalase deficiency, 612119 (3), Autosomal recessive
DDX6		DEAD/H box-6 (RNA helicase, 54kD)	
HLR2		DEAD/H box-6 (RNA helicase, 54kD)	
CXCR5		Chemokine, CXC motif, receptor 5	
BLR1		Chemokine, CXC motif, receptor 5	
BCL9L		B-cell CLL/lymphoma 9-like	
UPK2		Uroplakin 2	
UP2		Uroplakin 2	
UPII		Uroplakin 2	
FOXR1		Forkhead box R1	
FOXN5		Forkhead box R1	
RPS25		Ribosomal protein S25	
TRAPPC4		Trafficking protein particle complex, subunit 4 (synbindin)	
SLC37A4		Solute carrier family 37 (glucose-6-phosphate transporter), member 4	Glycogen storage disease Ib, 232220 (3), Autosomal recessive; Glycogen storage disease Ic, 232240 (3), Autosomal recessive
G6PT1		Solute carrier family 37 (glucose-6-phosphate transporter), member 4	Glycogen storage disease Ib, 232220 (3), Autosomal recessive; Glycogen storage disease Ic, 232240 (3), Autosomal recessive
HYOU1	mutation identified in 1 IMD59 patient	Hypoxia-upregulated 1	?Immunodeficiency 59 and hypoglycemia, 233600 (3), Autosomal recessive
IMD59	mutation identified in 1 IMD59 patient	Hypoxia-upregulated 1	?Immunodeficiency 59 and hypoglycemia, 233600 (3), Autosomal recessive
VPS11		Vacuolar protein sorting 11, yeast, homolog of	Leukodystrophy, hypomyelinating, 12, 616683 (3), Autosomal recessive
HLD12		Vacuolar protein sorting 11, yeast, homolog of	Leukodystrophy, hypomyelinating, 12, 616683 (3), Autosomal recessive
HMBS		Hydroxymethylbilane synthase	Porphyria, acute intermittent, 176000 (3), Autosomal dominant; Porphyria, acute intermittent, nonerythroid variant, 176000 (3), Autosomal dominant
PBGD		Hydroxymethylbilane synthase	Porphyria, acute intermittent, 176000 (3), Autosomal dominant; Porphyria, acute intermittent, nonerythroid variant, 176000 (3), Autosomal dominant
UPS		Hydroxymethylbilane synthase	Porphyria, acute intermittent, 176000 (3), Autosomal dominant; Porphyria, acute intermittent, nonerythroid variant, 176000 (3), Autosomal dominant
H2AX		H2AX histone	
DPAGT1		Dolichyl-phosphate N-acetylglucosamine phosphotransferase	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive; Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 (3), Autosomal recessive
DPAGT2		Dolichyl-phosphate N-acetylglucosamine phosphotransferase	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive; Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 (3), Autosomal recessive
DGPT		Dolichyl-phosphate N-acetylglucosamine phosphotransferase	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive; Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 (3), Autosomal recessive
CDG1J		Dolichyl-phosphate N-acetylglucosamine phosphotransferase	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive; Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 (3), Autosomal recessive
CMSTA2		Dolichyl-phosphate N-acetylglucosamine phosphotransferase	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive; Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 (3), Autosomal recessive
CMS13		Dolichyl-phosphate N-acetylglucosamine phosphotransferase	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive; Myasthenic syndrome, congenital, 13, with tubular aggregates, 614750 (3), Autosomal recessive
C2CD2L		C2 calcium-dependent domain-containing protein 2-like	
TMEM24		C2 calcium-dependent domain-containing protein 2-like	
MIZF		MBD2-interaction zinc finger protein	
ABCG4		ATP-binding cassette, subfamily G, member 4	
WHITE2		ATP-binding cassette, subfamily G, member 4	
NLRX1		NLR family member X1	
NOD9		NLR family member X1	
CLR11.3		NLR family member X1	
PDZD3		PDZ domain-containing 3	
IKEPP		PDZ domain-containing 3	
CBL	mutation identified in 1 JMML family	Cas-Br-M ecotropic retroviral transforming sequence (Oncogene CBL2)	?Juvenile myelomonocytic leukemia, 607785 (3), Autosomal dominant, Somatic mutation; Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia, 613563 (3), Autosomal dominant
CBL2	mutation identified in 1 JMML family	Cas-Br-M ecotropic retroviral transforming sequence (Oncogene CBL2)	?Juvenile myelomonocytic leukemia, 607785 (3), Autosomal dominant, Somatic mutation; Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia, 613563 (3), Autosomal dominant
NSLL	mutation identified in 1 JMML family	Cas-Br-M ecotropic retroviral transforming sequence (Oncogene CBL2)	?Juvenile myelomonocytic leukemia, 607785 (3), Autosomal dominant, Somatic mutation; Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia, 613563 (3), Autosomal dominant
MCAM		Melanoma adhesion molecule	
MUC18		Melanoma adhesion molecule	
CD146		Melanoma adhesion molecule	
RNF26		RING finger protein-26	
C1QTNF5		C1q- and tumor necrosis factor-related protein 5	Retinal degeneration, late-onset, autosomal dominant, 605670 (3), Autosomal dominant
CTRP5		C1q- and tumor necrosis factor-related protein 5	Retinal degeneration, late-onset, autosomal dominant, 605670 (3), Autosomal dominant
LORD		C1q- and tumor necrosis factor-related protein 5	Retinal degeneration, late-onset, autosomal dominant, 605670 (3), Autosomal dominant
MFRP		Membrane-type frizzled-related protein	Microphthalmia, isolated 5, 611040 (3), Autosomal recessive; Nanophthalmos 2, 609549 (3)
MCOP5		Membrane-type frizzled-related protein	Microphthalmia, isolated 5, 611040 (3), Autosomal recessive; Nanophthalmos 2, 609549 (3)
NNO2		Membrane-type frizzled-related protein	Microphthalmia, isolated 5, 611040 (3), Autosomal recessive; Nanophthalmos 2, 609549 (3)
THY1		Thy-1 T-cell antigen	
NECTIN1		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
PVRL1		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
HVEC		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
PVRR1		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
PRR1		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
ED4		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
OFC7		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
CLPED1		Nectin 1	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
TRIM29		Tripartite motif-containing protein 29	
ATDC		Tripartite motif-containing protein 29	
POU2F3		POU domain, class 2, transcription factor 3	
OCT11		POU domain, class 2, transcription factor 3	
ARHGEF12	fused with MLL in AML	Rho guanine nucleotide exchange factor 12, leukemia-associated	
LARG	fused with MLL in AML	Rho guanine nucleotide exchange factor 12, leukemia-associated	
KIAA0382	fused with MLL in AML	Rho guanine nucleotide exchange factor 12, leukemia-associated	
GRIK4		Glutamate receptor, ionotropic, kainate 4	
LRRC35		Leucine-rich repeat-containing protein 35	
EL		Leucine-rich repeat-containing protein 35	
TECTA		Tectorin, alpha	Deafness, autosomal dominant 8/12, 601543 (3), Autosomal dominant; Deafness, autosomal recessive 21, 603629 (3), Autosomal recessive
DFNA8		Tectorin, alpha	Deafness, autosomal dominant 8/12, 601543 (3), Autosomal dominant; Deafness, autosomal recessive 21, 603629 (3), Autosomal recessive
DFNA12		Tectorin, alpha	Deafness, autosomal dominant 8/12, 601543 (3), Autosomal dominant; Deafness, autosomal recessive 21, 603629 (3), Autosomal recessive
DFNB21		Tectorin, alpha	Deafness, autosomal dominant 8/12, 601543 (3), Autosomal dominant; Deafness, autosomal recessive 21, 603629 (3), Autosomal recessive
SC5DL		Sterol C5-desaturase-like	Lathosterolosis, 607330 (3), Autosomal recessive
ERG3		Sterol C5-desaturase-like	Lathosterolosis, 607330 (3), Autosomal recessive
ANIB7	between rs618176 and rs1940033	Aneurysm, intracranial berry, 7	Aneurysm, intracranial berry, 7, 612161 (2)
CLLS5	associated with rs735665	Leukemia, chronic lymphocytic susceptibility to, 5	{Leukemia, chronic lymphocytic susceptibility to, 5}, 612559 (2)
MGR9	max lod at GATA64D03	Migraine with aura, susceptibility to, 9	{Migraine with aura, susceptibility to, 9}, 609670 (2)
